time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
22061,0,0,0,2,510
22061,0,0,0,0,512
22073,0,0,0,2,510
22073,0,0,0,0,512
22076,0,0,0,1,511
22076,0,0,0,0,512
22096,0,0,0,2,510
22096,0,0,0,0,512
22099.2,0,0,0,1,511
22099.2,0,0,0,0,512
22121,0,0,0,2,510
22121,0,0,0,0,512
22123,0,0,0,2,510
22123,0,0,0,0,512
22138,0,0,0,2,510
22138,0,0,0,0,512
22153,0,0,0,2,510
22153,0,0,0,0,512
22168,0,0,0,2,510
22168,0,0,0,0,512
22182,0,0,0,2,510
22182,0,0,0,0,512
22183,0,0,0,2,510
